,X_1,X_2,X_3,X_4,X_5,alpha
time 459,-0.88,0.11,-0.02,-0.14,-0.87,0.67
time 460,0.32,-0.13,0.79,0.31,0.71,0.67
time 461,0.7,-0.17,-0.76,0.57,-0.0,0.33
time 462,0.87,-0.82,-0.02,0.8,0.15,0.67
time 463,-0.89,0.0,-0.45,-0.94,-0.57,0.67
time 464,-0.63,0.85,0.19,0.21,-0.78,0.67
time 465,0.85,-0.55,-0.33,-0.24,0.15,0.33
time 466,-0.63,-0.03,-0.57,-0.85,-0.23,0.33
time 467,-0.07,0.76,0.61,-0.92,0.68,0.67
time 468,0.41,0.71,-0.54,0.75,0.41,1.0
time 469,-0.53,-0.27,-0.55,-0.86,0.24,0.67
time 470,-0.34,0.21,-0.65,0.31,-0.29,0.33
time 471,0.27,-0.47,0.32,0.23,-0.42,1.0
time 472,-0.86,-0.8,-0.24,-0.54,-0.93,1.0
time 473,0.37,-0.84,-0.4,-0.46,0.23,0.67
time 474,0.57,0.73,-0.72,0.39,0.67,1.0
time 475,-0.59,0.11,0.4,0.42,0.52,0.33
time 476,0.61,-0.64,0.64,-0.51,0.81,0.67
time 477,-0.86,0.93,-0.71,0.77,-0.79,1.0
time 478,-0.96,0.06,-0.47,-0.19,-0.37,0.33
time 479,-0.68,-0.52,0.47,0.8,0.7,1.0
time 480,0.17,0.26,0.18,-0.76,0.25,0.67
time 481,-0.79,0.22,-0.22,0.79,0.76,0.67
time 482,-0.7,0.82,0.19,-0.49,-0.13,1.0
time 483,0.11,-0.96,-0.57,-0.93,-0.15,0.67
time 484,-0.15,-0.47,-0.77,0.73,0.7,0.33
time 485,-0.15,0.88,0.49,-0.52,-0.15,0.33
time 486,-0.01,0.2,-0.1,0.33,0.03,0.33
time 487,0.09,-0.89,-0.79,-0.61,0.91,0.67
time 488,0.41,-0.9,-0.67,-0.79,0.98,1.0
time 489,-0.78,-0.46,0.96,-0.24,0.28,0.33
time 490,-0.64,0.11,0.39,0.67,-0.44,0.33
time 491,0.35,0.35,-0.57,0.87,0.57,0.67
time 492,-0.34,0.1,-0.84,-0.93,0.39,0.67
time 493,-0.22,0.29,-0.54,0.5,0.17,0.33
time 494,-0.86,0.46,-0.72,-0.74,0.14,0.67
time 495,-0.91,-0.27,-0.68,-0.06,0.12,0.33
time 496,0.62,0.07,0.15,-0.06,0.08,1.0
time 497,-0.57,-0.29,-0.12,-0.26,0.41,0.67
time 498,-0.35,0.85,-0.23,0.44,-0.31,1.0
time 499,-0.88,0.7,-0.95,-0.85,-0.31,0.67
time 500,-0.5,1.0,-0.37,0.5,-0.39,1.0
time 501,-0.4,0.05,-1.0,-0.44,0.18,0.33
time 502,0.95,0.5,0.16,-0.74,0.32,0.33
time 503,0.86,-0.71,-0.83,-0.08,0.68,1.0
time 504,-0.04,-0.63,-0.05,0.43,0.62,1.0
time 505,0.97,0.83,-0.18,-0.13,0.05,1.0
time 506,0.77,0.39,-0.35,0.58,-0.39,0.33
time 507,-0.41,0.81,-0.35,0.9,0.82,0.67
time 508,-0.99,0.39,-0.03,-0.39,-0.96,0.33
time 509,-0.26,-0.18,0.78,0.16,0.86,0.67
time 510,0.27,-0.21,-0.37,-0.27,0.87,0.33
time 511,0.66,0.15,0.99,0.29,0.28,1.0
time 512,0.5,0.9,0.79,-0.83,-0.67,1.0
time 513,-0.61,-0.26,0.45,-0.31,0.06,0.33
time 514,-0.26,-0.6,-0.74,-0.7,-0.15,0.33
time 515,0.37,0.6,-0.08,0.85,0.99,0.67
time 516,0.94,0.33,-0.08,-0.31,-0.94,0.67
time 517,-0.83,-0.31,-0.84,0.94,-0.91,1.0
time 518,0.18,0.39,-0.73,-0.89,-0.52,1.0
time 519,-0.19,-0.49,0.23,0.03,-0.17,0.67
time 520,0.37,0.72,-0.06,0.7,0.94,1.0
time 521,-0.56,-0.97,-0.74,0.2,1.0,0.33
time 522,0.15,0.46,0.82,-0.55,-0.7,0.67
time 523,-0.27,0.74,-0.85,0.13,0.59,0.67
time 524,0.54,0.22,0.59,0.92,-0.71,0.67
time 525,0.56,0.26,0.84,0.75,-0.11,0.33
time 526,-0.65,0.38,0.13,-0.86,-0.74,0.33
time 527,-0.95,-0.35,-0.46,0.66,0.32,0.33
time 528,0.74,0.42,0.44,0.8,0.77,1.0
time 529,-0.16,0.33,-0.58,0.66,0.45,0.67
time 530,-0.26,-0.77,-0.48,-0.88,-0.79,1.0
time 531,-0.24,0.15,0.36,0.91,-0.54,1.0
time 532,0.77,-0.51,-0.55,0.94,0.94,1.0
time 533,0.87,0.34,0.05,0.58,0.32,1.0
time 534,0.33,0.38,-0.99,0.63,0.02,0.67
time 535,-0.47,-0.9,-0.47,0.28,0.07,0.67
time 536,-0.76,-0.1,-0.32,0.08,0.83,0.33
time 537,-0.08,0.49,0.15,-0.62,0.89,0.67
time 538,-0.66,0.26,-0.44,0.18,-0.4,1.0
time 539,0.64,0.8,-0.33,0.82,-0.51,1.0
time 540,-0.99,0.75,-0.72,0.12,-0.74,1.0
time 541,-0.35,-0.49,-0.57,0.85,0.56,0.33
time 542,-0.75,0.01,0.54,-0.2,0.41,1.0
time 543,0.19,0.36,-0.7,0.1,0.56,0.33
time 544,0.54,-0.25,-0.26,0.28,-0.89,0.67
time 545,-0.08,-0.18,0.04,-0.63,0.19,0.67
time 546,0.31,0.42,0.69,0.36,0.54,1.0
time 547,-0.94,0.31,-0.52,0.88,-0.21,1.0
time 548,0.68,-0.37,-0.22,-0.36,0.42,0.67
time 549,-0.84,0.24,-0.28,0.89,-0.27,0.67
time 550,-0.02,-0.13,-0.58,-0.53,0.87,0.33
time 551,-0.45,-0.88,0.31,0.79,-0.63,0.33
time 552,0.6,-0.42,0.28,-0.48,-0.65,0.67
time 553,-0.57,-0.61,-0.27,-0.85,-0.4,1.0
time 554,0.29,-0.08,-0.09,-0.97,0.11,0.67
time 555,-0.89,-0.24,0.56,0.2,0.38,1.0
time 556,-0.03,0.93,0.82,0.54,-0.93,0.67
time 557,0.0,0.82,0.43,0.41,-0.58,0.33
time 558,0.45,-0.46,-0.14,-0.65,0.71,0.67
time 559,-0.71,-0.37,-0.27,0.65,-0.12,0.33
time 560,0.82,0.11,-0.37,0.9,-0.05,0.33
time 561,0.44,0.82,-0.27,0.46,0.1,1.0
time 562,-0.18,0.54,0.06,-0.73,-0.38,0.67
time 563,-0.55,-0.24,0.07,0.95,-0.55,0.33
time 564,-0.86,0.83,-0.55,0.61,-0.12,1.0
time 565,0.56,0.32,0.19,0.99,-0.74,0.67
time 566,0.58,-0.65,-0.07,0.38,-0.98,0.33
time 567,-0.98,-0.65,0.15,0.14,0.77,1.0
time 568,-0.06,0.09,0.47,-0.73,0.91,0.33
time 569,0.35,0.45,0.65,0.19,0.85,0.33
time 570,0.45,0.07,-0.4,-0.49,-0.65,1.0
time 571,-0.25,-0.76,-0.6,-0.28,0.52,0.67
time 572,0.8,-0.24,0.59,0.92,0.23,1.0
time 573,-0.08,-0.92,0.97,0.01,-0.82,0.33
time 574,-0.92,0.34,0.8,0.16,0.19,0.33
time 575,-0.02,-0.24,0.29,-0.65,0.37,1.0
time 576,0.26,0.44,-0.97,0.19,0.44,0.33
time 577,0.8,-0.68,-0.95,-0.37,-0.75,1.0
time 578,-0.83,0.3,-0.1,-0.72,-0.18,0.33
time 579,-0.55,-0.71,0.76,0.99,0.76,1.0
time 580,-0.1,-0.3,0.96,-0.95,0.0,0.33
time 581,-0.43,0.69,0.04,-0.67,-0.19,1.0
time 582,0.98,-0.83,0.29,-0.13,0.72,0.67
time 583,0.3,0.59,-0.35,0.69,0.98,0.33
time 584,0.51,-0.86,0.6,0.72,-0.76,1.0
time 585,-0.91,-0.64,-0.13,-0.76,-0.01,0.67
time 586,-0.62,-0.78,0.72,-0.1,0.03,1.0
time 587,-0.41,-0.26,-0.14,-0.73,0.46,0.67
time 588,-0.89,0.77,0.77,-0.47,-0.4,1.0
time 589,0.69,0.23,0.35,0.58,-0.12,0.33
time 590,-0.27,0.59,-0.27,-0.12,0.33,1.0
time 591,-0.3,-0.16,-0.5,-0.09,0.76,0.67
time 592,-0.98,-0.54,-0.33,-0.03,0.78,0.67
time 593,-0.17,-0.8,-0.33,0.65,0.45,0.67
time 594,0.05,-0.17,-0.57,-0.82,0.59,0.67
time 595,-0.19,-0.93,-0.9,-0.83,-0.28,1.0
time 596,0.34,0.27,-0.4,0.59,0.81,0.33
time 597,-0.8,0.82,0.8,-0.23,0.18,0.33
time 598,0.03,0.86,0.12,0.03,0.96,0.33
time 599,-0.85,0.73,0.59,0.05,0.53,0.67
time 600,0.56,0.78,-0.56,0.31,0.83,0.67
time 601,0.39,-0.53,0.89,0.71,-0.91,1.0
time 602,-0.66,0.01,0.11,0.39,0.77,0.67
time 603,0.52,0.89,0.56,0.22,-0.44,0.67
time 604,0.32,-0.84,-0.19,0.23,0.06,1.0
time 605,-0.07,0.35,-0.58,0.38,-0.02,0.67
time 606,0.67,0.62,0.26,-0.11,-0.96,0.67
time 607,0.99,0.58,-0.9,0.55,0.11,0.33
time 608,0.55,-0.31,-0.62,-0.81,0.34,0.33
time 609,-0.69,-0.16,-0.78,-0.84,0.76,0.33
time 610,0.33,-0.93,0.06,0.18,0.18,0.33
time 611,-0.31,-0.96,0.28,0.42,-0.11,1.0
time 612,0.8,-0.28,0.24,0.62,-0.55,1.0
time 613,-0.11,0.78,0.63,-0.82,0.6,0.33
time 614,0.63,0.17,0.73,0.83,-0.51,1.0
time 615,0.59,0.78,0.09,-0.58,0.05,1.0
time 616,-0.91,-0.5,-0.43,-0.23,-0.01,0.67
time 617,-0.25,0.69,0.08,0.16,0.17,0.67
time 618,0.84,-0.18,-0.65,-0.88,0.09,0.33
time 619,-0.52,0.95,-0.34,0.12,-0.68,0.67
time 620,-0.81,0.83,0.73,-0.16,-0.94,0.33
time 621,-0.28,-0.61,-0.49,0.57,-0.15,0.67
time 622,0.22,0.7,-0.63,0.67,-0.28,0.33
time 623,-0.14,-0.55,0.75,-0.24,-0.93,1.0
time 624,0.22,0.2,0.2,-0.7,0.17,0.67
time 625,1.0,-0.26,-0.67,0.56,-0.99,1.0
time 626,0.12,-0.01,0.77,0.85,0.84,1.0
time 627,-0.93,0.47,0.12,-0.21,-0.59,1.0
time 628,-0.86,-0.73,-0.37,0.27,0.03,1.0
time 629,0.57,-0.62,0.69,0.33,-0.17,1.0
time 630,0.07,0.83,0.08,-0.16,0.26,0.33
time 631,0.35,0.05,-0.43,-0.09,0.47,1.0
time 632,0.72,-0.26,-0.81,-0.02,-0.7,1.0
time 633,0.88,-0.12,-0.87,0.35,-0.28,0.67
time 634,0.4,-0.06,-0.66,0.1,-0.11,1.0
time 635,-0.17,0.9,0.6,0.35,0.95,1.0
time 636,-0.17,-0.67,-0.51,0.73,-0.45,1.0
time 637,-0.14,0.43,-0.01,-0.33,-0.66,0.33
time 638,0.41,-0.13,-0.2,0.29,0.92,0.33
time 639,0.44,0.13,0.33,0.65,-0.6,1.0
time 640,0.33,0.11,0.33,-0.35,-0.96,0.33
time 641,-0.4,-0.22,-0.68,0.13,0.96,0.67
time 642,-0.87,0.2,0.62,-0.57,0.94,0.33
time 643,-0.99,-0.75,0.24,0.53,0.77,0.67
time 644,0.41,0.84,0.11,-0.8,-0.52,1.0
time 645,0.08,-0.41,-0.53,0.16,0.01,1.0
time 646,-0.47,-0.94,-0.25,-0.11,-0.01,0.33
time 647,-0.6,0.98,0.09,-0.3,0.23,0.67
time 648,0.52,0.96,-0.55,0.28,0.89,0.33
time 649,0.88,-0.32,-0.67,0.58,-0.17,0.33
time 650,0.97,0.84,1.0,0.89,-0.21,0.67
time 651,0.56,0.23,0.81,-0.42,0.81,0.67
time 652,-0.51,-0.9,0.92,-0.76,-0.51,0.33
time 653,0.14,-0.24,-0.29,0.77,-0.31,1.0
time 654,-0.98,-0.91,0.49,-0.59,-0.18,0.67
time 655,-0.22,-0.94,-0.52,-0.59,-0.97,0.33
time 656,0.65,0.18,0.42,-0.17,0.78,1.0
time 657,0.61,-0.58,0.0,-0.35,-0.18,1.0
time 658,-0.42,0.56,-0.63,-0.15,0.64,0.33
time 659,-0.61,-0.23,-0.68,0.76,-0.76,0.67
time 660,0.06,-0.01,0.71,-0.21,-0.98,0.67
time 661,-0.34,0.93,0.73,0.29,-0.97,0.67
time 662,-0.86,-0.78,0.75,-0.7,0.82,0.33
time 663,-0.77,0.15,0.03,-0.62,0.62,1.0
time 664,-0.67,-1.0,-0.43,-0.99,0.86,0.67
time 665,0.02,-0.75,0.67,0.46,0.11,0.67
time 666,-0.32,-0.89,-0.21,0.4,-0.54,0.67
time 667,0.25,0.9,-0.94,-0.36,-0.08,0.33
time 668,-0.26,0.3,-0.39,0.85,-0.25,1.0
time 669,-0.82,0.31,-0.15,-0.88,0.59,1.0
time 670,0.94,-0.31,0.61,-0.02,0.45,0.33
time 671,-0.52,-0.64,-0.77,-0.81,-0.87,0.67
time 672,0.71,-0.9,-0.29,-0.09,0.65,0.33
time 673,-0.34,-0.97,-0.95,0.86,-0.38,1.0
time 674,-0.93,0.85,-0.48,-0.75,-0.74,0.67
time 675,0.46,0.89,-0.22,0.48,0.28,0.33
time 676,-0.63,-0.26,0.4,0.87,-0.06,0.33
time 677,0.73,0.2,0.45,0.61,0.51,0.67
time 678,0.74,0.95,0.52,-0.18,-0.21,0.33
time 679,0.77,0.74,0.46,-0.63,-1.0,1.0
time 680,-0.54,0.57,-0.58,-0.04,-0.88,0.67
time 681,-0.15,0.08,0.51,-0.11,0.58,0.67
time 682,0.36,-0.22,0.23,0.01,0.11,0.33
time 683,-0.71,0.53,-0.39,-0.37,0.12,0.33
time 684,0.36,0.98,-0.25,-0.67,-0.86,1.0
time 685,0.96,0.57,0.18,-0.55,0.79,0.33
time 686,-0.84,-0.32,0.76,-0.88,0.94,0.67
time 687,-0.96,-0.46,0.01,-0.01,-0.92,0.33
time 688,0.44,0.01,0.41,-0.93,-0.82,0.33
time 689,-0.35,-0.54,0.86,-0.4,0.1,0.33
time 690,-0.9,-0.48,-0.23,0.81,0.67,0.33
time 691,-0.37,0.67,0.67,-0.1,-0.92,0.67
time 692,0.3,0.55,0.86,-0.78,0.33,0.33
time 693,0.54,-0.58,-0.85,-0.64,-0.56,0.67
time 694,-0.02,0.63,-0.27,0.83,0.09,0.67
time 695,-0.26,0.23,-0.4,0.04,-0.0,0.33
time 696,-0.76,0.63,0.45,0.12,-0.98,0.67
time 697,0.38,0.22,-0.27,0.5,-0.95,0.67
time 698,0.82,0.4,-0.52,0.18,0.38,0.67
time 699,0.54,-0.49,0.57,0.45,1.0,1.0
time 700,0.7,0.1,-0.24,0.4,0.89,1.0
time 701,0.24,0.48,-0.75,-0.5,0.59,0.33
time 702,-0.07,0.19,-0.75,-0.75,0.87,0.33
time 703,0.95,0.4,0.28,0.9,0.36,1.0
time 704,-0.72,0.62,-0.93,0.3,-0.56,0.33
time 705,-0.78,0.91,0.66,0.69,-0.08,0.67
time 706,0.81,0.44,0.25,-0.33,-0.9,0.33
time 707,0.35,-0.04,0.22,0.72,0.23,1.0
time 708,-0.25,0.79,0.95,0.0,0.81,0.33
time 709,-0.16,0.5,0.18,0.8,0.35,1.0
time 710,0.34,-0.81,-0.14,-0.66,-0.79,1.0
time 711,-0.46,0.92,-0.39,0.05,-0.76,0.67
time 712,-0.84,-0.75,-0.69,0.07,0.98,0.67
time 713,-0.78,-0.66,0.45,-0.39,0.4,0.67
time 714,-0.06,0.68,-0.27,-0.33,0.81,0.67
time 715,-0.92,0.34,-0.53,0.82,-0.67,0.33
time 716,-0.21,0.29,0.87,0.35,0.04,1.0
time 717,-0.15,0.79,0.2,-0.28,0.45,0.67
time 718,0.85,0.49,-0.23,-0.83,0.53,1.0
time 719,0.47,0.52,-0.13,0.53,-0.79,0.33
time 720,0.28,0.9,0.22,-0.31,-0.05,0.67
time 721,0.6,-0.39,0.26,-0.29,0.98,1.0
time 722,0.57,-0.9,-0.85,-0.36,-0.11,1.0
time 723,0.29,-0.28,0.89,0.16,0.82,0.67
time 724,-0.49,0.38,0.37,0.04,0.61,0.67
time 725,0.98,-0.86,-0.76,0.71,-0.54,0.33
time 726,0.18,-0.66,-0.75,0.16,0.32,0.33
time 727,0.66,0.68,-0.47,0.12,0.77,1.0
time 728,-0.44,-0.83,-0.29,-0.7,-0.96,0.67
time 729,-0.39,-0.18,0.63,0.14,0.49,1.0
time 730,0.43,-0.17,0.31,0.93,-0.11,0.67
time 731,0.85,0.68,0.84,-0.07,0.47,1.0
time 732,0.18,0.96,-0.37,-0.58,-0.37,0.33
time 733,-0.29,-0.57,-0.5,-0.05,0.73,1.0
time 734,0.89,-0.82,0.43,-0.46,-0.91,1.0
time 735,0.1,0.11,-0.29,0.43,-0.72,0.67
time 736,-0.63,-0.98,0.58,0.55,0.19,0.67
time 737,-0.63,0.25,0.9,-0.94,0.96,0.33
time 738,0.08,0.73,0.44,-0.43,-0.44,0.67
time 739,-0.77,0.87,0.07,-0.24,0.7,1.0
time 740,-0.11,0.47,-0.76,0.96,-0.67,0.33
time 741,-0.75,-0.5,0.98,-0.91,0.02,0.67
time 742,0.1,-0.3,-0.15,0.98,-0.29,0.33
time 743,-0.47,-0.59,-0.62,-0.78,0.42,0.33
time 744,0.91,0.94,-0.3,0.34,0.92,0.33
time 745,0.01,-0.31,0.19,-0.61,0.73,0.67
time 746,-0.2,-0.53,0.37,0.43,0.69,0.67
time 747,0.03,-0.72,-0.2,-0.01,-0.75,0.33
time 748,-0.47,0.71,-0.27,-0.27,-0.44,0.33
time 749,0.94,-0.84,-0.42,-0.98,0.2,0.67
time 750,0.86,-0.55,0.34,-0.42,0.51,0.33
time 751,0.99,-0.46,0.3,0.93,-0.12,1.0
time 752,-0.15,-0.63,-0.58,0.25,0.59,1.0
time 753,0.19,0.75,-0.17,0.05,0.72,1.0
time 754,-0.76,-0.29,0.7,0.43,0.84,0.67
time 755,-0.02,-0.84,-0.04,-0.76,0.97,0.67
time 756,0.12,-0.66,0.34,-0.58,-0.69,1.0
time 757,0.18,0.53,-0.78,0.44,0.54,0.67
time 758,0.92,-0.21,0.89,0.22,-0.14,0.33
time 759,-0.86,0.79,-0.88,-0.79,-0.13,1.0
time 760,0.88,0.04,-0.43,-0.97,0.71,0.33
time 761,0.39,-0.47,0.38,-0.43,-0.14,1.0
time 762,-0.78,-0.36,-0.45,0.16,-0.75,1.0
time 763,0.09,-0.17,0.6,-0.23,0.61,1.0
time 764,0.17,-0.32,0.46,-0.79,-0.48,1.0
time 765,-0.68,-0.85,0.86,-0.96,0.97,0.33
time 766,-0.95,0.05,0.48,0.61,0.78,0.33
time 767,-0.62,-0.5,0.46,0.23,0.31,1.0
time 768,0.27,-0.21,0.85,-0.55,0.29,1.0
time 769,0.05,-0.0,-0.95,-0.26,0.7,1.0
time 770,-0.09,-0.36,-0.13,-0.48,0.61,0.67
time 771,-0.43,0.57,-0.18,0.49,-0.87,0.33
time 772,-0.71,0.62,0.29,-0.14,0.64,0.33
time 773,0.93,0.72,-0.79,0.93,-0.08,0.67
time 774,0.41,-0.84,-0.74,0.46,-0.31,1.0
time 775,-0.98,-0.75,-0.93,0.69,-0.82,0.67
time 776,0.31,0.03,0.1,-0.76,-0.9,0.33
time 777,0.35,-0.6,0.28,-0.86,0.35,0.67
time 778,-0.95,0.13,0.12,0.51,0.32,0.33
time 779,0.1,-0.07,-0.57,0.28,-0.59,0.33
time 780,0.62,0.29,0.34,-0.24,0.74,0.33
time 781,-0.76,0.88,0.75,0.18,-0.91,0.33
time 782,0.95,0.38,0.05,0.34,0.6,1.0
time 783,-0.69,-0.17,-0.25,0.65,0.12,1.0
time 784,0.31,0.46,-0.45,0.97,0.71,0.67
time 785,-0.32,0.75,0.16,0.26,-0.79,0.67
time 786,0.82,0.87,0.96,0.37,0.8,1.0
time 787,0.68,-0.56,0.88,0.91,1.0,0.33
time 788,-0.13,-0.86,-0.69,-0.18,-0.81,0.67
time 789,0.04,-0.13,-0.89,0.75,0.14,0.67
time 790,0.59,-0.25,-0.91,0.73,-0.74,0.67
time 791,0.36,0.49,0.24,-0.71,0.72,1.0
time 792,-0.57,-0.38,-0.53,0.8,-1.0,1.0
time 793,0.26,-0.76,0.36,0.25,-0.67,0.67
time 794,-0.5,0.56,0.88,0.38,0.5,0.67
time 795,-0.71,0.34,-0.51,-0.08,-0.11,1.0
time 796,-0.38,-0.5,-0.81,-0.64,-0.84,0.33
time 797,-0.47,0.29,-0.93,0.26,0.6,0.33
time 798,-0.8,-0.55,0.54,-0.86,0.46,0.67
time 799,-0.53,-0.09,0.81,0.6,-0.87,0.33
time 800,-0.14,-0.76,0.43,-0.32,0.04,0.67
time 801,-0.45,0.08,0.98,0.91,-0.52,0.67
time 802,0.15,0.58,-0.85,-0.05,-0.16,1.0
time 803,-0.97,-0.95,-0.47,0.82,0.12,0.33
time 804,0.74,-0.43,0.73,-0.59,0.37,0.67
time 805,0.39,-0.38,-0.54,-0.87,-0.75,0.67
time 806,-0.04,-0.63,0.17,-0.03,0.14,0.33
time 807,-0.14,0.73,0.97,-0.86,-0.82,0.33
time 808,0.06,0.74,-0.0,0.95,0.72,0.33
time 809,-0.97,-0.83,0.55,0.05,0.73,0.33
time 810,-0.29,-0.37,0.43,-0.19,0.68,0.67
time 811,0.78,0.58,0.34,0.31,-0.92,0.33
time 812,-0.63,-0.77,0.38,0.23,-0.9,0.67
time 813,-0.34,-0.34,-0.31,0.47,-0.1,0.33
time 814,-0.81,0.73,0.66,0.48,-0.53,1.0
time 815,0.2,0.63,-0.05,0.46,0.87,0.67
time 816,0.54,-0.06,-0.19,-0.35,-0.93,0.33
time 817,0.05,-0.29,0.24,0.94,1.0,0.67
time 818,0.6,-0.15,0.67,0.81,0.2,1.0
time 819,0.61,0.16,-0.37,0.72,0.48,0.67
time 820,0.71,0.99,-0.11,0.86,0.33,0.33
time 821,0.95,0.42,-0.25,0.32,0.65,1.0
time 822,0.35,-0.21,0.26,0.29,0.95,0.33
time 823,0.07,0.78,-0.98,0.95,0.65,1.0
time 824,-0.03,-0.37,-0.65,0.1,-0.85,0.67
time 825,-0.28,-0.16,0.66,0.66,0.01,0.67
time 826,0.28,0.77,0.72,-0.68,0.55,1.0
time 827,-0.66,-0.34,-0.4,0.43,0.09,0.67
time 828,0.36,0.09,-0.28,-0.11,-0.42,1.0
time 829,-0.12,0.47,-0.91,0.16,-0.8,0.67
time 830,0.16,0.89,0.91,0.24,-0.61,0.33
time 831,-0.09,-0.97,0.71,-0.19,-0.6,0.33
time 832,0.45,-0.59,0.74,-0.04,-0.29,1.0
time 833,0.56,-0.15,0.28,0.91,0.01,0.33
time 834,0.59,-0.6,-0.96,-0.84,0.15,1.0
time 835,-0.27,0.39,-0.81,0.38,-0.6,0.33
time 836,0.08,0.96,0.74,-0.94,0.44,1.0
time 837,-0.14,-0.55,0.41,0.52,-0.7,1.0
time 838,0.23,0.91,0.86,0.13,0.04,0.67
time 839,-0.27,-0.39,0.22,0.99,0.62,1.0
time 840,-0.2,0.22,0.95,-0.79,-0.62,0.33
time 841,0.08,-0.46,0.27,-0.2,-0.19,0.67
time 842,-0.96,-0.7,0.04,-0.46,0.89,0.33
time 843,0.16,-0.78,0.23,-0.75,-0.47,1.0
time 844,-0.91,0.23,0.92,-0.54,0.32,1.0
time 845,0.33,0.69,0.68,0.04,0.86,0.33
time 846,-0.69,-0.68,0.26,-0.59,-0.13,0.33
time 847,0.79,0.36,-0.95,-0.72,0.19,1.0
time 848,0.56,0.94,-0.28,-0.51,0.02,0.33
time 849,0.64,-0.32,0.81,0.32,-0.6,0.33
time 850,-0.08,-0.1,0.71,-0.66,-0.48,1.0
time 851,0.83,0.42,0.16,-0.42,0.42,0.67
time 852,0.74,0.35,-0.78,-0.61,0.82,0.67
time 853,0.7,-0.46,0.91,0.72,0.78,1.0
time 854,0.51,-0.13,-0.11,0.65,-0.43,0.67
time 855,0.02,-0.17,-0.12,-0.09,-0.94,0.67
time 856,-0.47,0.89,-0.31,0.58,0.14,1.0
time 857,-0.19,0.24,-0.65,0.62,-0.84,1.0
time 858,0.22,-0.32,0.49,0.82,-0.48,0.33
time 859,-0.57,-0.18,0.64,0.16,-0.44,0.33
time 860,0.59,0.84,0.27,-0.95,0.74,0.33
time 861,0.5,0.5,0.58,0.96,-0.93,0.67
time 862,-0.31,0.91,-0.15,0.04,-0.53,0.33
time 863,-0.78,-0.5,0.13,-0.27,-0.8,0.67
time 864,-0.28,0.94,-0.31,-0.9,-0.15,0.33
time 865,-0.03,-0.66,-0.89,0.1,-0.2,1.0
time 866,-0.32,0.34,-0.77,0.36,0.67,0.33
time 867,-0.94,-0.78,-0.32,0.1,-0.05,0.33
time 868,-0.56,-0.06,0.76,0.85,-0.6,1.0
time 869,0.2,-0.55,-0.17,0.3,0.99,1.0
time 870,-0.49,0.21,0.97,-0.47,-0.79,0.67
time 871,-0.63,-0.05,0.45,0.7,-0.2,0.33
time 872,0.17,0.27,-0.02,0.44,0.25,0.67
time 873,-0.83,-0.34,0.05,0.94,-0.06,1.0
time 874,0.32,-0.46,0.61,-0.18,-0.1,1.0
time 875,-0.59,0.69,0.41,-0.32,0.21,0.67
time 876,0.51,0.8,-0.86,-0.63,0.34,1.0
time 877,-0.41,1.0,0.21,-0.01,0.21,0.33
time 878,-0.35,-0.75,-0.77,-0.18,0.66,0.33
time 879,0.5,0.93,1.0,0.4,-0.97,1.0
time 880,-0.11,-0.48,-0.4,-0.79,-0.25,0.67
time 881,0.59,0.19,-0.41,-0.27,-0.87,0.33
time 882,0.94,0.02,0.32,-0.82,0.98,0.33
time 883,-1.0,0.91,-0.68,0.81,-0.69,0.33
time 884,0.2,-0.42,0.3,-0.74,0.35,1.0
time 885,-0.48,0.83,-0.15,-0.29,0.38,1.0
time 886,0.58,0.56,0.01,0.26,0.42,0.67
time 887,-0.56,-0.66,0.83,-0.34,-0.95,0.33
time 888,0.16,-0.4,0.11,-0.11,-0.03,1.0
time 889,-0.18,0.87,-0.61,-0.47,0.4,0.67
time 890,0.95,0.99,0.76,-0.31,0.29,0.33
time 891,0.47,0.72,0.73,0.9,0.54,1.0
time 892,-0.37,-0.84,0.19,0.61,-0.82,0.33
time 893,0.78,0.24,-0.81,-0.99,-0.77,0.67
time 894,0.98,0.5,-0.31,-0.75,-0.57,0.67
time 895,-0.07,0.67,0.43,0.91,0.35,1.0
time 896,0.58,0.4,0.46,0.89,0.46,0.33
time 897,0.72,-0.31,-0.89,0.72,0.52,1.0
time 898,-0.89,0.23,0.77,0.6,0.27,0.33
time 899,-0.73,0.9,-0.78,-0.92,-0.76,1.0
time 900,0.37,0.46,-0.15,0.05,0.98,0.67
time 901,0.9,-0.49,-0.36,-0.84,0.18,0.33
time 902,0.69,-0.11,-0.51,-0.79,-0.5,1.0
time 903,0.13,-0.27,-0.44,0.62,-0.95,0.67
time 904,0.81,0.76,-0.68,-0.7,-0.61,0.67
time 905,-0.06,0.46,-0.44,-0.75,0.79,0.67
time 906,0.57,0.21,0.37,-0.37,0.64,1.0
time 907,-0.98,-0.14,-0.95,-0.69,0.54,1.0
time 908,0.44,0.08,-0.02,0.44,-0.6,0.33
time 909,-0.71,-0.93,0.18,-0.47,-0.5,0.33
time 910,0.35,-0.71,0.27,-0.05,0.85,0.67
time 911,0.76,-0.42,-0.93,-0.16,-0.36,0.33
time 912,0.35,0.71,0.63,0.85,-0.77,0.67
time 913,0.66,-0.16,-0.93,0.64,0.88,0.33
time 914,0.84,0.66,-0.12,-0.65,0.02,0.33
time 915,-0.6,-0.67,0.79,-0.99,0.97,1.0
time 916,0.72,-0.58,0.33,0.33,-0.77,1.0
time 917,-0.94,0.17,-0.77,0.67,0.7,0.33
